actualNode,err:Syntax|SyntaxNode actualNode = syntaxNodeFromLines(k, rule, subject);
normalizedActualNode,SyntaxNode normalizedActualNode = normalizeSyntaxNode(actualNode);
actualNodeLines,string[] actualNodeLines = syntaxNodeToString(normalizedActualNode);
node,SyntaxNode node;
file,SourceFile file = createSourceFile(lines, { filename: k });
tok,Tokenizer tok = new (file);
file,SourceFile file = createSourceFile(lines, { filename: k });
tok,Tokenizer tok = new (file);
t,err:Syntax|Token? t = advance(tok, k, lines);
lc,d:LineColumn lc = file.lineColumn(tok.currentStartPos());
src,string src = lines[lc[0] - 1];
tStart,int tStart = lc[1];
tStr,string tStr = tokenToString(t);
srcAtPos,string srcAtPos = src.substring(tStart, tStart + tStr.length());
e,err:Syntax? e = tok.advance();
all,map<TokenizerTestCase> all = check invalidTokenSourceFragments();
invalidCases,int invalidCases = all.length();
valid,map<ParserTestCase> valid = check readParserTests();
sources,SingleStringTokenizerTestCase[] sources = [ ["E", string`"`], ["E", "'"], ["E", "`"], ["E", string`"\"`], ["E", string`"\a"`], ["E", string`\`], ["E", string`"${ "\n" }"`], ["E", string`"${ "\r" }"`], ["E", string`"\\`], ["E", string`"\u{}"`], ["E", "\"\\" + "u{D800}\""], ["E", "\"\\" + "u{DFFF}\""], ["E", "\"\\" + "u{110000}\""], ["E", string`"\u{X}"`], ["E", string`"\u{-6A}"`], ["E", string`"\u"`], ["E", string`"\u{"`], ["E", string`"\u{0"`] ];
tests,map<TokenizerTestCase> tests = {};
tests,map<ParserTestCase> tests = {};
testData,ParserTestJson[] testData = check (check io:fileReadJson("modules/front.syntax/tests/data/testParser.json")).fromJsonWithType();
expected,string[] expected;
subject,string subject = s[2];
subjectLines,string[] subjectLines = splitIntoLines(subject);
rule,string rule = s[1];
testFiles,var testFiles = check file:readDir("modules/front.syntax/tests/data");
path,string path = f.absPath;
base,string base = check file:basename(path);
src,string[] src = check readCase(path);
parentDir,string parentDir = check file:parentPath(path);
canonFile,string canonFile = check file:joinPath(parentDir, canonFileName(base));
expected,string[] expected;
baseParts,[Kind, string] baseParts = check splitTestName(base);
rule,string rule = baseParts[1];
len,int len = base.length();
kindPos,int kindPos = base.indexOf("-") ?: 0;
kind,string kind = base.substring(0, kindPos);
afterKindPos,int afterKindPos = min(kindPos + 1, len);
rulePos,int rulePos = base.indexOf("-", afterKindPos) ?: afterKindPos;
rule,string rule = base.substring(afterKindPos, rulePos);
lines,string[] lines = check io:fileReadLines(path);
caseLines,string[] caseLines = [];
inCase,boolean inCase = false;
indented,int indented = 0;
trimLine,string trimLine = line.trim();
sansExt,string sansExt = base.substring(0, base.length() - SOURCE_EXTENSION.length());
skipped,TestDiffResult[] skipped = [];
unchanged,TestDiffResult[] unchanged = [];
changed,TestDiffResult[] changed = [];
newSkipped,var [newSkipped, newUnchanged, newChanged] = check compareDir(opts.baseDir, opts.transformedDir, check pathEnd(testDir.absPath));
newUnchanged,var [newSkipped, newUnchanged, newChanged] = check compareDir(opts.baseDir, opts.transformedDir, check pathEnd(testDir.absPath));
newChanged,var [newSkipped, newUnchanged, newChanged] = check compareDir(opts.baseDir, opts.transformedDir, check pathEnd(testDir.absPath));
baseTestDir,string baseTestDir = check file:joinPath(baseDir, testDir);
transformedTestDir,string transformedTestDir = check file:joinPath(transformedDir, testDir);
skipped,TestDiffResult[] skipped = [];
changed,TestDiffResult[] changed = [];
unchanged,TestDiffResult[] unchanged = [];
newSkipped,var [newSkipped, newUnchanged, newChanged] = check compareTest(baseTestDir, transformedTestDir, check pathEnd(test.absPath));
newUnchanged,var [newSkipped, newUnchanged, newChanged] = check compareTest(baseTestDir, transformedTestDir, check pathEnd(test.absPath));
newChanged,var [newSkipped, newUnchanged, newChanged] = check compareTest(baseTestDir, transformedTestDir, check pathEnd(test.absPath));
baseTestFile,string baseTestFile = check file:joinPath(baseTestDir, test);
transformedTestFile,string transformedTestFile = check file:joinPath(transformedTestDir, test);
baseTests,TestCase[] baseTests = check parseTests(baseTestFile);
transformedTests,TestCase[] transformedTests = check parseTests(transformedTestFile);
lines,string[] lines = check io:fileReadLines(path);
content,string[] content = [];
description,string description = "";
tests,TestCase[] tests = [];
s,State s = CONTENT;
baseIndex,int baseIndex = 0;
transformedIndex,int transformedIndex = 0;
skipped,TestDiffResult[] skipped = [];
unchanged,TestDiffResult[] unchanged = [];
changed,TestDiffResult[] changed = [];
baseDescription,var { description: baseDescription, content: baseContent } = baseTests[baseIndex];
baseContent,var { description: baseDescription, content: baseContent } = baseTests[baseIndex];
transformedDescription,var { description: transformedDescription, content: transformedContent } = transformedTests[transformedIndex];
transformedContent,var { description: transformedDescription, content: transformedContent } = transformedTests[transformedIndex];
body,string[] body = [];
currentPath,string currentPath = "";
path,string path = diff.base.path;
currentPath,string currentPath = "";
path,string path = diff.base.path;
parts,string[] parts = check file:splitPath(absPath);
skipList,string? skipList = opts.skipList;
skipLabels,string[][] skipLabels = skipList != () ? check parseSkipList(skipList) : [];
skipped,int skipped = 0;
total,int total = 0;
tests,BaltTestCase[] tests = check parseTest(path);
parts,string[] parts = check file:splitPath(path);
filename,string filename = parts[parts.length() - 1];
dir,string dir = parts[parts.length() - 2];
testCases,BaltTestCase[] testCases = [];
lines,string[] lines = check io:fileReadLines(path);
header,string[] header = [];
labels,string[] labels = [];
content,string[] content = [];
useIoLib,boolean useIoLib = false;
s,State s = BOF;
fBody,var [_, fBody] = parseField(line);
contentLine,var [contentLine, newLabels] = transformContent(line);
newLabels,var [contentLine, newLabels] = transformContent(line);
newContent,string[] newContent = ["import ballerina/io;"];
newLabels,string[] newLabels = [];
initFunc,string initFunc = "function init()";
newLine,string newLine;
starIndex,int? starIndex = line.indexOf("{");
endIndex,int? endIndex = line.indexOf("}");
targetIndex,int targetIndex = <int>line.indexOf("?;");
i,int? i = s.indexOf(":");
fieldName,string fieldName = s.substring(0, i);
fieldValue,string fieldValue = s.substring(i + 1);
labels,string[] labels = [];
content,string[] content = [];
body,string[] body = [];
skipped,int skipped = 0;
index,int index = 0;
skipIndices,int[] skipIndices = skipTest.hasKey(filename) ? skipTest.get(filename) : [];
skipTest,boolean skipTest = false;
outputFileName,string outputFileName = string `./tests/${dir}/${filename}`;
invalid,boolean invalid = true;
tc,t:Context tc = mod.getTypeContext();
numBlocks,int numBlocks = self.blocks.length();
vc,VerifyContext vc = new(mod, defn);
entry,Label entry = 0;
cx,VerifyCodeContext cx = check vc.verifyCodeContext(code);
params,RegSet params = check verifyParamRegs(vc, code.registers);
block,BasicBlock block = cx.blocks[current];
term,Insn term = check blockTerminator(cx, block, predPos);
termPos,Position termPos = term.pos;
onPanic,Label? onPanic = block.onPanic;
cycle,boolean cycle = cx.preds[child];
fid,int fid = cx.fwdInDegrees[child];
i,int i = 0;
insns,Insn[] insns = cx.blocks[i].insns;
paramRegs,RegSet paramRegs = [];
afterParams,boolean afterParams = false;
block,BasicBlock block = cx.blocks[current];
flows,RegFlow[] flows = cx.blocksFlows[current];
regs,RegSet regs = mergeFlows(flows);
afterMerge,boolean afterMerge = false;
operands,| var { args: operands }
onPanic,Label? onPanic = block.onPanic;
term,Insn term = check blockTerminator(cx, block, viaPos);
termPos,Position termPos = term.pos;
trueRegs,RegSet trueRegs = regs.clone();
falseRegs,RegSet falseRegs = regs;
numFlows,int numFlows = flows.length();
i,int i = 0;
flow,RegFlow? flow = flowOriginating(flows, pred);
insns,Insn[] insns = block.insns;
insnsLen,int insnsLen = insns.length();
result,RegSet result = [];
numReg,int numReg = flow[0].regs.length();
conj,boolean conj = true;
name,string name = insn.name;
unnarrowedOp,Register unnarrowedOp = unnarrow(insn.result);
union,t:SemType union = t:NEVER;
unnarrowedOp,Register unnarrowedOp = unnarrow(insn.operand);
func,FunctionRef func = <FunctionRef>insn.func;
sig,FunctionSignature sig = func.signature;
nSuppliedArgs,int nSuppliedArgs = insn.args.length();
nExpectedArgs,int nExpectedArgs = sig.paramTypes.length();
name,string name = vc.symbolToString(func.symbol);
ty,t:SemType ty = insn.result.semType;
